Name_Clean,Name_Upper,Age,Phone_Numeric,Full_Phone
mr. john doe,MR. JOHN DOE,35,021234567,+66021234567
miss jane smith,MISS JANE SMITH,28,0819998888,+660819998888
"dr. smythe , albert","DR. SMYTHE , ALBERT",42,025551234,+66025551234
unknown,UNKNOWN,31,0921112222,+660921112222
chris  evans,CHRIS  EVANS,39,024447777,+66024447777
mrs. sarah parker,MRS. SARAH PARKER,45,0852223333,+660852223333
prof. xavier,PROF. XAVIER,65,0817776666,+660817776666
bruce banner,BRUCE BANNER,33,0998887771,+660998887771
starlord,STARLORD,25,0834445555,+660834445555
dr. strange,DR. STRANGE,40,021110000,+66021110000
peter parker,PETER PARKER,21,0843334444,+660843334444
unknown,UNKNOWN,29,027778888,+66027778888
clint barton,CLINT BARTON,48,0890001111,+660890001111
scott lang,SCOTT LANG,38,025556666,+66025556666
hope van dyne,HOPE VAN DYNE,34,0912223333,+660912223333
t'challa,T'CHALLA,32,0828889999,+660828889999
carol danvers,CAROL DANVERS,30,023332222,+66023332222
nick fury,NICK FURY,55,0814445555,+660814445555
